Question,Answer
What is meant by 'RNN can also be used for time-series forecasting' in context of Applications of RNN?,RNN can also be used for time-series forecasting
What is meant by 'RNN is particularly useful for tasks where the output ' in context of Applications of RNN?,RNN is particularly useful for tasks where the output
What is meant by 'GAN is a type of neural network that is used for ' in context of Generative Adversarial Neural Networks?,GAN is a type of neural network that is used for
What is meant by 'GAN consists of two neural networks' in context of Generative Adversarial Neural Networks?,GAN consists of two neural networks: a generator
"What is meant by 'The generator network generates new data samples, ' in context of Generative Adversarial Neural Networks?","The generator network generates new data samples,"
"What is meant by 'GAN has been used for a variety of generative tasks, ' in context of Applications of GAN?","GAN has been used for a variety of generative tasks,"
"What is meant by 'GAN can also be used for data augmentation, where it ' in context of Applications of GAN?","GAN can also be used for data augmentation, where it"
What is meant by 'GAN is particularly useful for tasks where the output ' in context of Applications of GAN?,GAN is particularly useful for tasks where the output
What is meant by 'Transformers are a type of neural network ' in context of Transformers?,Transformers are a type of neural network
What is meant by 'Transformers are based on a self-attention ' in context of Transformers?,Transformers are based on a self-attention
"What is meant by 'Unlike RNNs, Transformers can process the entire ' in context of Transformers?","Unlike RNNs, Transformers can process the entire"
What is meant by 'Transformers have been used for a variety of natural ' in context of Applications of Tranformers?,Transformers have been used for a variety of natural
What is meant by 'Transformers are particularly useful for tasks where ' in context of Applications of Tranformers?,Transformers are particularly useful for tasks where
What is meant by 'Transformers have also been applied to non-language ' in context of Applications of Tranformers?,Transformers have also been applied to non-language
What is meant by 'GPT models are a family of transformer-based neural ' in context of Generative Pre-Trained Transformers?,GPT models are a family of transformer-based neural
What is meant by 'GPT models are pre-trained on large amounts of text ' in context of Generative Pre-Trained Transformers?,GPT models are pre-trained on large amounts of text
What is meant by 'GPT models use a left-to-right autoregressive ' in context of Generative Pre-Trained Transformers?,GPT models use a left-to-right autoregressive
"What is LLMs are not magic: They require crafted prompts, proper?","infrastructure, and optimization for reliable operation. Raw models alone are not enough."
"What is Building applications: Real-world LLM apps combine models,?","retrieval systems (RAG), external tools, and pipelines."
What is Practical engineering is crucial: Success depends on handling?,"scaling, failures, latency, and integration challenges."
What is Prompt as control: A prompt directs what the LLM should focus on?,— it’s like writing a mini-program through text.
"What is Good prompts = Better outputs: Speciﬁc, well-structured prompts?",yield much more reliable and useful results.
"What is Programming by language: Unlike code, prompts shape behavior?",dynamically through careful wording.
What is Chain-of-Thought (CoT): Ask the model to reason step-by-step?,instead of jumping to conclusions.
What is Provide context and background: The more the model?,"¨knows¨about the situation, the better it can respond."
What is Bad Prompt:?,"”Tell me about history.” — Too vague, invites random responses."
What is Good Prompt:?,"”Summarize the history of naval warfare in 5 bullet points, focusing on major innovations between 1500 and 1900.”"
"What is Prompt quality = Output quality: Clear prompts reduce errors,?","hallucinations, and vague responses."
"What is Essential for serious apps: Chatbots, tutoring systems, search?",engines all depend on prompt quality.
What is Open-Source:?,llama.cpp: Lightweight local LLM inference.
What is Quantization Helps: Shrinks models by using lower precision?,(int8/fp16) without major accuracy loss.
"What is Agentic AI: Models that plan, reason, act, and adapt across steps —?",not just single reply generation.
What is How LLM Agents Work (Simpliﬁed Loop)?,"1 Receive goal from user. 2 Plan initial action or query. 3 Call necessary tools / generate intermediate outputs. 4 Observe results, analyze gaps. 5 Re-plan or ﬁnalize output."
Can you explain meant by 'Creating a Deployment' in context of DEMO?,Creating a Deployment
Can you explain meant by 'Cost-effectiveness - Pay only for what you use' in context of Benefits of using AWS Cloud?,Cost-effectiveness - Pay only for what you use
How would you describe meant by 'docker stop web-server (or container id) ' in context of BASIC DOCKER COMMANDS?,docker stop web-server (or container id)
What do you mean by Services?,- Handling atomic operations across multiple microservices (Distributed Transactions). - Maintaining data consistency during failures (Consistency Issues).
Could you elaborate on meant by 'Creating a Deployment' in context of Demo?,Creating a Deployment
Can you explain meant by 'Docker Swarm provides the cluster management and orchestration features of Docker Engine ' in context of DOCKER SWARM KEY CONCEPTS?,Docker Swarm provides the cluster management and orchestration features of Docker Engine
Could you elaborate on meant by 'Develop your apps and supporting components using containers' in context of WHAT IS DOCKER?,Develop your apps and supporting components using containers
Could you elaborate on meant by 'IAM encompasses controlling and tracking user identities and access in IT ' in context of Identity Access Management (IAM)?,IAM encompasses controlling and tracking user identities and access in IT
How would you describe meant by 'Programming Constructs' in context of Monolithic Applications?,"Programming Constructs: Defined using language-specific constructs (e.g., Java packages)."
Can you explain Another Demo!!!?,https://github.com/rav94/devops-in-practice
How would you describe meant by 'Create new virtual networks.' in context of DOCKER OBJECTS CONT…?,Create new virtual networks.
Can you describe how can we run containers at scale?,"Container orchestration • Container orchestration automates the deployment, management, scaling, and networking of containers. • Container orchestration can be used in any environment where you use containers. It can help you to deploy the same application across different environments without needing to redesign it."
Can you explain meant by 'kubelet  ' in context of HIGH LEVEL ARCHITECTURE?,kubelet
Can you explain meant by 'Create Deployment' in context of Deploying an App – kubectl Way?,Create Deployment
Tell me about First step is to add a proxy layer between the storefront UI and the.,"monolithic application. At the start, the proxy routes all traffic to the  monolithic application. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
"Can you explain meant by 'A configuration management tool like Chef, ' in context of What Helm is NOT?","A configuration management tool like Chef,"
Can you explain meant by 'Clustering Algorithms' in context of Learning Algorithms?,Clustering Algorithms
Tell me about meant by 'Service' in context of FEW RESOURCE OBJECTS IN K8S.,Service
How would you describe meant by 'Amazon SQS' in context of Common AWS Services?,Amazon SQS
Can you explain meant by 'Root file system (rootfs) – Includes the typical directory structure we associate with Unix-' in context of INTERNALS?,Root file system (rootfs) – Includes the typical directory structure we associate with Unix-
What do you mean by AWS Cloud?,"• AWS Cloud is a cloud computing platform that provides a wide range of services, including compute, storage, databases, security, networking, analytics, machine learning, and DevOps etc... • AWS Cloud is a highly scalable and reliable platform that can be used to build and deploy applications of all sizes and complexity. • AWS Cloud is also a cost-effective platform, as you only pay for the resources that you use."
Can you explain meant by 'Modular Architecture' in context of Monolithic Applications?,"Modular Architecture: Follows a modular structure within a single unit, aligning with object-"
What do you mean by meant by 'Linear output can be useful but will make it difficult to ' in context of Activation Function?,Linear output can be useful but will make it difficult to
Can you explain meant by 'List resources of type - kubectl get resource_type ' in context of MANAGING CLUSTER RESOURCES?,List resources of type - kubectl get resource_type
"Tell me about meant by 'MLP is a feedforward network, which means that ' in context of Multi-Layer Perceptron.","MLP is a feedforward network, which means that"
Explain: DOES IT SOLVE,"MATRIX FROM HELL INCREASES THE COMPLEXITY CONTAINERS REDUCES THE COMPLEXITY IN SUMMARY A CONTAINER IS, • Just an isolated process running on the host machine. And a restricted process. • Will share OS and, where appropriate, bins/ libraries and limited to what resources it can access. • It exits when the process stops. “Containers are the next once-in-a-decade shift in IT infrastructure and process”"
What do you mean by meant by 'Requires to track your deployment and modify YAML files (can be error prone)' in context of Deploying an App – kubectl Way – Pain Points?,Requires to track your deployment and modify YAML files (can be error prone)
Could you elaborate on meant by 'GAN consists of two neural networks' in context of Generative Adversarial Neural Networks?,GAN consists of two neural networks: a generator
How would you describe meant by 'If y >= t ➔ buy(1)' in context of Merchant?,If y >= t ➔ buy(1)
Can you explain meant by 'Pulling Docker Image' in context of BASIC DOCKER COMMANDS?,Pulling Docker Image
What do you mean by meant by 'Stacking multiple Nerons to for a layer' in context of Building Complete Neural Networks?,Stacking multiple Nerons to for a layer
Could you elaborate on meant by 'Identify Replaceable Components' in context of Process Involved in Strangler fig?,Identify Replaceable Components: Start with parts of the system that
How would you describe meant by 'defines one or more containers ' in context of E.g. docker container?,defines one or more containers
Tell me about meant by 'running in a VM ' in context of E.g. docker container.,running in a VM
Tell me about meant by 'Communication as a Service' in context of Many specialized variations of the three base cloud delivery models have.,Communication as a Service
How would you describe meant by 'Innovation - 200+ fully featured services for a wide range of ' in context of Benefits of using AWS Cloud?,Innovation - 200+ fully featured services for a wide range of
Could you elaborate on meant by 'SVM' in context of Types of Supervised Learning Models?,SVM
Tell me about meant by 'Helm became a CNCF project in mid 2018' in context of Kubernetes applications.,Helm became a CNCF project in mid 2018
"What do you mean by meant by 'Often, multiple classifiers need to be combined to ' in context of Ensemble Learning?","Often, multiple classifiers need to be combined to"
Tell me about meant by 'Docker as a “CLI tool”' in context of WHAT IS DOCKER.,Docker as a “CLI tool”
How would you describe meant by 'Nodes - A node is an instance of the Docker engine participating in the swarm. You can also ' in context of DOCKER SWARM KEY CONCEPTS?,Nodes - A node is an instance of the Docker engine participating in the swarm. You can also
How would you describe meant by 'Nodes' in context of E.g. docker container?,Nodes:
Tell me about meant by 'Print detailed description of a resource - kubectl describe resource_type ' in context of DEBUGGING CLUSTER RESOURCES.,Print detailed description of a resource - kubectl describe resource_type
"Can you explain meant by 'Cloud Infrastructure - Cloud provides more flexibility, scalability and toolsets for organizations to ' in context of Practices?","Cloud Infrastructure - Cloud provides more flexibility, scalability and toolsets for organizations to"
Tell me about meant by 'CNN uses convolutional layers to extract features ' in context of Convolutional Neural Networks.,CNN uses convolutional layers to extract features
What do you mean by meant by 'docker pull nginx' in context of BASIC DOCKER COMMANDS?,docker pull nginx
Can you explain meant by 'Decoupling' in context of Understanding Microservices?,Decoupling
Can you explain meant by 'AWS Cloud is a cloud computing ' in context of What is AWS Cloud?,AWS Cloud is a cloud computing
Could you elaborate on meant by 'It was donated to CNCF (Cloud Native Computing Foundation) who ' in context of What is Kubernetes?,It was donated to CNCF (Cloud Native Computing Foundation) who
"Could you elaborate on meant by 'A configuration management tool like Chef, ' in context of What Helm is NOT?","A configuration management tool like Chef,"
Can you explain meant by 'Security and compliance is a shared responsibility between AWS and the ' in context of Shared Responsibility Model in Public Cloud?,Security and compliance is a shared responsibility between AWS and the
"Can you explain meant by 'So what’s Docker? – In 2024, Docker means lot’s of things, let’s just clear ' in context of WHAT IS DOCKER?","So what’s Docker? – In 2024, Docker means lot’s of things, let’s just clear"
How would you describe meant by 'Reroute Traffic' in context of Process Involved in Strangler fig?,Reroute Traffic: Gradually reroute user traffic from the old system to
Could you elaborate on meant by 'Storage' in context of Common AWS Services?,Storage
Can you explain meant by 'GPT models use a left-to-right autoregressive ' in context of Generative Pre-Trained Transformers?,GPT models use a left-to-right autoregressive
Explain: ARE THERE SOLUTIONS OTHER THAN DOCKER,• Docker – Container runtime + Tool for managing containers and images • Containerd – Container runtime only • Podman – Tool for managing containers and images DEEP DIVE INTO DOCKER INTERNALS DOCKER ARCHITECTURE
"What do you mean by meant by 'Be mindful of ‘external factors’ (e.g. seasonal effects, RL if you' in context of Algorithm?","Be mindful of ‘external factors’ (e.g. seasonal effects, RL if you"
Can you explain Client writes to G1?,https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
What do you mean by Client writes to G1?,https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
"Tell me about meant by 'Manager Node - To deploy your application to a swarm, you submit a service definition ' in context of DOCKER SWARM KEY CONCEPTS.","Manager Node - To deploy your application to a swarm, you submit a service definition"
Can you explain meant by 'AWS IAM (Identity and Access Management) - service that allows you to ' in context of Accessing AWS Services?,AWS IAM (Identity and Access Management) - service that allows you to
Could you elaborate on meant by 'IAM Policies - Documents that specify the permissions that are granted ' in context of Accessing AWS Services?,IAM Policies - Documents that specify the permissions that are granted
Could you elaborate on meant by 'Reactive scaling' in context of Suited for applications with fixed or known peaks.?,Reactive scaling
What do you mean by Partition tolerance means that the cluster must continue to work despite any?,number of communication breakdowns between nodes in the system.
Tell me about meant by 'Identify Replaceable Components' in context of Process Involved in Strangler fig.,Identify Replaceable Components: Start with parts of the system that
"How would you describe A monolithic application has three services: user service, cart service,?","and account service. The cart service depends on the user service,  and the application uses a monolithic relational database. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
Could you elaborate on meant by 'When a container is exited the state of the file system and its exit value is saved. ' in context of INTERNALS?,When a container is exited the state of the file system and its exit value is saved.
Can you explain meant by 'kube-proxy' in context of HIGH LEVEL ARCHITECTURE?,kube-proxy
Can you explain meant by 'Models based on QoS/SLA targets' in context of Based on?,Models based on QoS/SLA targets
Could you elaborate on meant by 'Build Artifacts' in context of Monolithic Applications?,"Build Artifacts: Built as a single artifact, such as a Java JAR file."
How would you describe Future Learning and Strategies?,- Explore strategies for detailed refactoring from monolithic to microservices. - Plan for ongoing education and adaptation of methods.
Tell me about meant by 'Rules defined based on domain knowledge' in context of MYCIN.,Rules defined based on domain knowledge
Tell me about meant by 'Create resource from file - kubectl create -f resource_file.yml ' in context of Managing cluster resources.,Create resource from file - kubectl create -f resource_file.yml
Tell me about meant by 'Attach container to more than one virtual network (or none)' in context of DOCKER OBJECTS CONT….,Attach container to more than one virtual network (or none)
Can you explain meant by 'Same workload can be deployed multiple times' in context of Here Comes Helm?,Same workload can be deployed multiple times
Can you explain meant by 'If y > 5 ➔ buy' in context of It’s Decision-Making Time?,If y > 5 ➔ buy
Could you elaborate on meant by 'Cloud Infrastructure as a Service (IaaS)' in context of The Business Case for the Cloud?,Cloud Infrastructure as a Service (IaaS)
What do you mean by meant by 'helm install helm101/guestbook --name myguestbook --set service.type=NodePort – follow the ' in context of Install?,helm install helm101/guestbook --name myguestbook --set service.type=NodePort – follow the
Could you elaborate on meant by 'Bob tells Alice to wait a bit and check out later' in context of EVENTUAL CONSISTENCY – FACEBOOK EXAMPLE?,Bob tells Alice to wait a bit and check out later
Tell me about meant by 'Continuous Integration (CI) - Software development practice where developers regularly merge ' in context of Practices.,Continuous Integration (CI) - Software development practice where developers regularly merge
What do you mean by meant by 'Upgrade ' in context of Demo – Guestbook Upgrades and Rollback?,Upgrade
What do you mean by Kubernetes cluster creates a deployment using a variation of the?,“kubectl apply” command. 5 - The application is deployed on the cluster. • The cluster state is manually decided by kubectl commands or other
Can you explain meant by 'Scale and Elasticity' in context of Features of Cloud?,Scale and Elasticity
Tell me about meant by 'AI attempts to give machine the ' in context of Summary.,AI attempts to give machine the
Tell me about meant by 'A Deployment provides declarative updates for Pods and ReplicaSets. You ' in context of Few resource objects in K8s.,A Deployment provides declarative updates for Pods and ReplicaSets. You
What do you mean by meant by 'Based on pre-defined Rules' in context of MYCIN?,Based on pre-defined Rules
"What do you mean by meant by 'MLP can be used for a variety of tasks, including ' in context of Applications of MLP?","MLP can be used for a variety of tasks, including"
How would you describe meant by 'can run multiple pods ' in context of E.g. docker container?,can run multiple pods
Can you explain meant by 'No Fixed Size' in context of Understanding Microservices?,No Fixed Size: Size varies based on language expressiveness and domain
How would you describe meant by 'docker container run –it – Start a new container interactively' in context of BASIC DOCKER COMMANDS?,docker container run –it – Start a new container interactively
Could you elaborate on meant by 'drag & drop installation ' in context of RUNNING THINGS LOCALLY?,drag & drop installation
Tell me about meant by 'physical worker machines ' in context of E.g. docker container.,physical worker machines
Could you elaborate on meant by 'Logistic Regression' in context of Types of Supervised Learning Models?,Logistic Regression
How would you describe meant by 'GAN consists of two neural networks' in context of Generative Adversarial Neural Networks?,GAN consists of two neural networks: a generator
What do you mean by meant by 'Update deployment e.g. update with a new image' in context of Deploying an App – kubectl Way – Pain Points?,Update deployment e.g. update with a new image
How would you describe meant by 'Still need some level of infrastructure maintenance' in context of IaaS?,Still need some level of infrastructure maintenance
How would you describe meant by 'Authorization' in context of Identity Access Management (IAM)?,Authorization: Defines access control levels and manages relationships between
Could you elaborate on meant by 'Docker Desktop with built-in ' in context of RUNNING THINGS LOCALLY?,Docker Desktop with built-in
How would you describe meant by 'RNN can also be used for time-series forecasting' in context of Applications of RNN?,RNN can also be used for time-series forecasting
How would you describe Another way to state this—all working nodes in the distributed system return a?,"valid response for any request, without exception."
What do you mean by meant by 'Java OpenNLP/Python NLTK (Natural language processing' in context of Popular Frameworks/Tools?,Java OpenNLP/Python NLTK (Natural language processing
Could you elaborate on meant by 'windows and macOS ' in context of RUNNING THINGS LOCALLY?,windows and macOS
"Can you explain meant by 'Getting a shell inside containers,' in context of BASIC DOCKER COMMANDS?","Getting a shell inside containers,"
How would you describe meant by 'Upgrade ' in context of Demo – Guestbook Upgrades and Rollback?,Upgrade
Could you elaborate on meant by 'Orchestrator acts as the decision maker and determines the next ' in context of Orchestrator is aware of all the steps required for transaction.?,Orchestrator acts as the decision maker and determines the next
"What do you mean by Looks for that particular image locally in image cache, if its not found pulls it from the?",configured registry (image repository). Downloads the latest version by default  (nginx:latest) 2.
Could you elaborate on meant by 'Inspired by ants finding shortest paths using ' in context of Ant Colony Optimization (ACO)?,Inspired by ants finding shortest paths using
How would you describe meant by 'Depth First Search' in context of Search Algorithms?,Depth First Search
What do you mean by meant by 'Rules' in context of Based on?,Rules
"What do you mean by meant by 'Alice logs in her account,checks her Facebook wall but' in context of EVENTUAL CONSISTENCY – FACEBOOK EXAMPLE?","Alice logs in her account,checks her Facebook wall but"
How would you describe meant by 'Helm packages all dependencies ' in context of Here Comes Helm?,Helm packages all dependencies
Can you explain meant by 'Ingress - An Ingress is a Kubernetes object that sits in front of ' in context of Few resource objects in K8s?,Ingress - An Ingress is a Kubernetes object that sits in front of
Can you explain meant by 'AWS Management Console' in context of Interacting with AWS Services?,AWS Management Console
How would you describe How LLM Agents Work (Simpliﬁed Loop)?,"1 Receive goal from user. 2 Plan initial action or query. 3 Call necessary tools / generate intermediate outputs. 4 Observe results, analyze gaps. 5 Re-plan or ﬁnalize output."
Tell me about meant by 'Depends on the events published by the microservices.' in context of Saga Choreography.,Depends on the events published by the microservices.
Could you elaborate on meant by 'Creating a Deployment' in context of DEMO?,Creating a Deployment
Could you elaborate on meant by 'Combined Modules' in context of Monolithic Applications?,"Combined Modules: Functional modules like UI, server logic, and database interactions are"
What do you mean by A partition is a communications break within a distributed system—a lost or?,temporarily delayed connection between two nodes.
Can you explain meant by 'Accessing AWS Services' in context of Agenda?,Accessing AWS Services
Tell me about meant by 'helm install helm101/guestbook --name myguestbook --set service.type=NodePort – follow the ' in context of Install.,helm install helm101/guestbook --name myguestbook --set service.type=NodePort – follow the
Explain: Do we understand how/why it makes predictions,Training Time Important for real-time or big data Fairness
What do you mean by meant by 'Continuous Delivery (CD) - Software development practice where code changes are automatically ' in context of Practices?,Continuous Delivery (CD) - Software development practice where code changes are automatically
How would you describe meant by 'Can create your own image or use images created and published in a registry by others.' in context of DOCKER OBJECTS?,Can create your own image or use images created and published in a registry by others.
Could you elaborate on meant by 'Apache Keras (Python library of neural networks)' in context of Popular Frameworks/Tools?,Apache Keras (Python library of neural networks)
How would you describe meant by 'Amazon CloudTrail' in context of Common AWS Services?,Amazon CloudTrail
Tell me about meant by 'There is no external deployment/CI system with full access to the ' in context of The key points here are:.,There is no external deployment/CI system with full access to the
Tell me about Not all models are created.,equal — and neither are the  ways we evaluate them.
What do you mean by meant by 'Redis master deployment and service configuration' in context of Deploying an App – kubectl Way?,Redis master deployment and service configuration
Can you explain meant by 'helm repo list' in context of Verify that helm101/guestbook is now in your repo?,helm repo list
Could you elaborate on meant by 'At the end of the lesson students ' in context of Lesson Objectives?,At the end of the lesson students
"Can you explain meant by 'Not suitable for complex, non-linear patterns' in context of Finds the best slope (m) and intercept (c) to?","Not suitable for complex, non-linear patterns"
How would you describe meant by 'Domain-Driven Design' in context of Paving the Way for Microservices?,Domain-Driven Design: Emphasizing the importance of reflecting real-world complexities in our code
How would you describe meant by 'Common AWS services' in context of Agenda?,Common AWS services
"How would you describe meant by 'MLP is a feedforward network, which means that ' in context of Multi-Layer Perceptron?","MLP is a feedforward network, which means that"
Can you explain meant by 'The saga participants (microservices) subscribe to the events and act ' in context of Saga Choreography?,The saga participants (microservices) subscribe to the events and act
Tell me about meant by 'Single-Tiered Structure' in context of Monolithic Applications.,"Single-Tiered Structure: Built as a single, unified unit."
Can you explain meant by 'Inspired by ants finding shortest paths using ' in context of Ant Colony Optimization (ACO)?,Inspired by ants finding shortest paths using
How would you describe meant by 'Amazon Simple Storage Service (S3)' in context of Common AWS Services?,Amazon Simple Storage Service (S3)
What do you mean by meant by 'Continuous Integration (CI) - Software development practice where developers regularly merge ' in context of Practices?,Continuous Integration (CI) - Software development practice where developers regularly merge
Tell me about meant by 'Need of having multiple deployments (e.g. multiple Redis deployments) ' in context of Deploying an App – kubectl Way – Pain Points.,Need of having multiple deployments (e.g. multiple Redis deployments)
What do you mean by meant by 'Replica Sets - Ensures desired number of pods exist by' in context of FEW RESOURCE OBJECTS IN K8S?,Replica Sets - Ensures desired number of pods exist by: scaling up or down and
How would you describe Uses trial-and-error and reward maximization to?,improve decision-making over time. •
Can you explain meant by 'Autonomy' in context of Understanding Microservices?,Autonomy
Can you explain meant by 'docker pull nginx' in context of BASIC DOCKER COMMANDS?,docker pull nginx
"Can you explain meant by 'You have NoSQL databases, which do not provide ACID transactions, and you need to update multiple tables ' in context of Use the saga orchestration pattern when:?","You have NoSQL databases, which do not provide ACID transactions, and you need to update multiple tables"
Could you elaborate on Result of the attacker gaining direct access to IT resources that were implemented to?,be accessed by trusted consumer programs.
How would you describe meant by 'Helm allows assigning workload release names at runtime' in context of Here Comes Helm?,Helm allows assigning workload release names at runtime
"Could you elaborate on Essential for serious apps: Chatbots, tutoring systems, search?",engines all depend on prompt quality.
Can you explain meant by 'W2?' in context of Merchant?,W2?
What do you mean by meant by 'Edit resource on the server - kubectl edit resource_type ' in context of Managing cluster resources?,Edit resource on the server - kubectl edit resource_type
"Tell me about meant by 'Design each microservice with a single responsibility for easier scaling, monitoring, and management.' in context of Provides traffic management, service discovery, load balancing, and failure recovery..","Design each microservice with a single responsibility for easier scaling, monitoring, and management."
How would you describe meant by 'You can create an image using a Dockerfile or by committing a container’s ' in context of Copy on Write to improve the efficiency by?,You can create an image using a Dockerfile or by committing a container’s
Can you explain meant by 'Continuous Delivery (CD) - Software development practice where code changes are automatically ' in context of Practices?,Continuous Delivery (CD) - Software development practice where code changes are automatically
"Could you elaborate on meant by 'Ability to deploy your app as a container or an orchestrated service, in whatever environment which supports Docker ' in context of WHAT IS DOCKER?","Ability to deploy your app as a container or an orchestrated service, in whatever environment which supports Docker"
Could you elaborate on meant by 'A different serviceType is needed in different environments (e.g. NodePort/LoadBalancer)  ' in context of Deploying an App – kubectl Way – Pain Points?,A different serviceType is needed in different environments (e.g. NodePort/LoadBalancer)
How would you describe meant by 'Amazon Relational Database Service (RDS)' in context of Common AWS Services?,Amazon Relational Database Service (RDS)
Could you elaborate on Once all interdependent components have been fully migrated to?,"microservices, it becomes feasible to refactor the code to eliminate  the Anti-Corruption Layer (ACL) components. https://docs.aws.amazon.com/prescriptive-guidance/latest/cloud-design-patterns/strangler-fig.html"
Tell me about meant by 'Execute command on the container - kubectl exec [-it] pod_name ' in context of Debugging cluster resources.,Execute command on the container - kubectl exec [-it] pod_name
"Can you explain Multiple cloud service requests are sent, each of which is designed to consume?",excessive memory and processing resources.
Could you elaborate on Enhanced Development and Maintenance?,"- Breaks application into smaller, manageable chunks. - Clear boundaries with defined APIs. - Quicker development, easier understanding and maintenance."
Tell me about meant by 'Export/ Import it as a tarball' in context of Copy on Write to improve the efficiency by.,Export/ Import it as a tarball
What do you mean by meant by 'No expertise of Kubernetes deployment needed as Helm hides Kubernetes domain complexities ' in context of Here Comes Helm?,No expertise of Kubernetes deployment needed as Helm hides Kubernetes domain complexities
How would you describe meant by 'docker service create --replicas 1 --name helloworld alpine ping docker.com' in context of DOCKER SWARM KEY CONCEPTS?,docker service create --replicas 1 --name helloworld alpine ping docker.com
Can you explain meant by 'Deployment' in context of Few resource objects in K8s?,Deployment
Could you elaborate on meant by 'Transformers have been used for a variety of natural ' in context of Applications of Tranformers?,Transformers have been used for a variety of natural
Explain: Questions,"Lecture 02 - Part 2 (Upgraded) LLM Development Toolkit April 21, 2025 23 / 23"
Can you explain meant by 'Print detailed description of a resource - kubectl describe ' in context of Debugging cluster resources?,Print detailed description of a resource - kubectl describe
"Could you elaborate on meant by 'Machine learning is a subfield of artificial intelligence, ' in context of What is Machine Learning?","Machine learning is a subfield of artificial intelligence,"
How would you describe meant by 'Ease of Deployment' in context of Diagram of a monolithic ecommerce application with several modules using a combination of?,Ease of Deployment: Deployment involves simply copying the packaged application to a
Could you elaborate on meant by 'Clustering Algorithms' in context of Learning Algorithms?,Clustering Algorithms
Could you elaborate on Traditional deployment without GitOps:?,"1 - A developer commits source code for the application. 2 - A CI system builds the application and may also perform additional  actions such as unit tests, security scans, static checks, etc. 3 - The container image is stored in a Container registry. 4 - The CI platform (or other external system) with direct access to the"
What do you mean by meant by 'Project that was created by Google as an open source container orchestration ' in context of WHAT IS KUBERNETES?,Project that was created by Google as an open source container orchestration
"Could you elaborate on meant by 'That read-write layer, plus the information about its Parent Image and some additional ' in context of INTERNALS?","That read-write layer, plus the information about its Parent Image and some additional"
What do you mean by Quantization Helps: Shrinks models by using lower precision?,(int8/fp16) without major accuracy loss.
Could you elaborate on meant by 'Amazon CloudFront' in context of Common AWS Services?,Amazon CloudFront
Tell me about meant by 'Amazon Route 53' in context of Common AWS Services.,Amazon Route 53
Can you explain Inconsistent system?,https://mwhittaker.github.io/blog/an_illustrated_proof_of_the_cap_theorem/
Can you explain meant by 'When there are small number of participants (microservices) involved.' in context of Use the saga choreography pattern when:?,When there are small number of participants (microservices) involved.
Tell me about meant by 'Refer the literature!!!' in context of Algorithm.,Refer the literature!!!
What do you mean by meant by 'Private cloud' in context of Cloud service/ delivery models variations?,Private cloud
How would you describe meant by 'Signal Flow is uni-directional' in context of Feed Forward Networks?,Signal Flow is uni-directional
Could you elaborate on meant by 'No signal loops.' in context of Feed Forward Networks?,No signal loops.
Can you explain meant by 'Is it better than the Current Phone. (𝑥𝑏)' in context of Mathematical Intuition?,Is it better than the Current Phone. (𝑥𝑏)
Can you explain meant by 'Most used type of ANN' in context of Feed Forward Networks?,Most used type of ANN
Tell me about meant by 'Traffic Management with Ingress' in context of Developing and deploying Microservices with.,Traffic Management with Ingress:
What do you mean by Software as a Service (SaaS)?,"⚫ Service provider offers specific applications offered as a “product” ⚫ hosted by the provider ⚫ Consumed by the customer ⚫ May be customised by the customer ⚫ Information stored by the provider ⚫ No necessity to purchase any hardware ⚫ The SaaS vendor ⚫ Operates ⚫ Maintains and ⚫ Supports all the software, hardware, and communications technology ⚫ The price is on a per-use basis and involves no upfront capital costs."
Could you elaborate on meant by 'Application Integration' in context of Common AWS Services?,Application Integration
Could you elaborate on meant by 'Where are your datacenters located?' in context of Know what you want first?,Where are your datacenters located?
Tell me about meant by 'Project that was created by Google as an open source container orchestration ' in context of WHAT IS KUBERNETES.,Project that was created by Google as an open source container orchestration
What do you mean by meant by 'Introduction to AWS cloud platform and its benefits' in context of Agenda?,Introduction to AWS cloud platform and its benefits
Tell me about meant by 'Docker Storage Drivers - https' in context of REFERENCES.,Docker Storage Drivers - https://docs.docker.com/storage/storagedriver/
How would you describe In cloud the availability of cloud services can be a responsibility that is shared?,by the cloud provider and the cloud carrier. The availability of a cloud-based  solution that extends to cloud service consumers is further shared by the  cloud consumer.
What do you mean by meant by 'Avoids Using Two-Phase Commit Protocols for Transaction Management.' in context of Saga Pattern - A saga consists of a sequence of local transactions. Each local transaction in a saga?,Avoids Using Two-Phase Commit Protocols for Transaction Management.
Can you explain meant by 'Runnable instance of an image.' in context of DOCKER OBJECTS?,Runnable instance of an image.
Can you explain meant by 'Where are your datacenters located?' in context of Know what you want first?,Where are your datacenters located?
Can you explain A Genetic Algorithm (GA) is a search and?,optimization method inspired by how living  things evolve over time through natural  selection.  •
"How would you describe meant by 'Docker mounts the rootfs and instead of changing the file system to read-write mode, ' in context of INTERNALS?","Docker mounts the rootfs and instead of changing the file system to read-write mode,"
How would you describe meant by 'Independent Data Management' in context of Diagram of an ecommerce application with functional areas implemented by microservices.?,Independent Data Management: Each service manages its data
